Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,PCT_SE_A04001_002,PCT_SE_A04001_003,PCT_SE_A04001_004,PCT_SE_A04001_005,PCT_SE_A04001_006,PCT_SE_A04001_007,PCT_SE_A04001_008,PCT_SE_A04001_009,PCT_SE_A04001_010,PCT_SE_A04001_011,PCT_SE_A04001_012,PCT_SE_A04001_013,PCT_SE_A04001_014,PCT_SE_A04001_015,PCT_SE_A04001_016,PCT_SE_A04001_017
"06075032601","Census Tract 326.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"032601",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075032601","Census Tract 326.01",,,,4511,3866,1515,45,0,1984,1,6,315,645,149,0,17,25,0,59,395,85.7,33.58,1,0,43.98,0.02,0.13,6.98,14.3,3.3,0,0.38,0.55,0,1.31,8.76
"06075032602","Census Tract 326.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"032602",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075032602","Census Tract 326.02",,,,4105,3728,1185,168,0,2076,7,5,287,377,107,0,0,21,0,64,185,90.82,28.87,4.09,0,50.57,0.17,0.12,6.99,9.18,2.61,0,0,0.51,0,1.56,4.51
"06075032700","Census Tract 327, San Francisco County, California","ca","140","00",,,,"06","075",,,"032700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075032700","Census Tract 327",,,,6729,6088,2270,16,32,3272,0,107,391,641,118,0,0,62,0,230,231,90.47,33.73,0.24,0.48,48.63,0,1.59,5.81,9.53,1.75,0,0,0.92,0,3.42,3.43
"06075032801","Census Tract 328.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"032801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075032801","Census Tract 328.01",,,,3946,3733,766,5,0,2756,0,0,206,213,62,0,0,8,0,53,90,94.6,19.41,0.13,0,69.84,0,0,5.22,5.4,1.57,0,0,0.2,0,1.34,2.28
"06075032802","Census Tract 328.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"032802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075032802","Census Tract 328.02",,,,4185,3861,1194,16,0,2407,162,0,82,324,0,0,0,29,0,235,60,92.26,28.53,0.38,0,57.51,3.87,0,1.96,7.74,0,0,0,0.69,0,5.62,1.43
"06075032901","Census Tract 329.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"032901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075032901","Census Tract 329.01",,,,5071,4891,1039,200,0,3062,74,11,505,180,91,0,0,41,0,13,35,96.45,20.49,3.94,0,60.38,1.46,0.22,9.96,3.55,1.79,0,0,0.81,0,0.26,0.69
"06075032902","Census Tract 329.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"032902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075032902","Census Tract 329.02",,,,3797,3434,777,25,0,2573,0,0,59,363,50,0,0,0,0,93,220,90.44,20.46,0.66,0,67.76,0,0,1.55,9.56,1.32,0,0,0,0,2.45,5.79
"06075033001","Census Tract 330.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"033001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075033001","Census Tract 330.01",,,,3858,3666,988,74,0,2507,0,35,62,192,19,0,0,74,0,2,97,95.02,25.61,1.92,0,64.98,0,0.91,1.61,4.98,0.49,0,0,1.92,0,0.05,2.51
"06075033002","Census Tract 330.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"033002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075033002","Census Tract 330.02",,,,3940,3686,1538,2,0,1838,0,12,296,254,104,1,0,38,0,55,56,93.55,39.04,0.05,0,46.65,0,0.3,7.51,6.45,2.64,0.03,0,0.96,0,1.4,1.42
"06075033100","Census Tract 331, San Francisco County, California","ca","140","00",,,,"06","075",,,"033100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075033100","Census Tract 331",,,,3866,3770,1162,56,0,2224,33,15,280,96,75,0,0,0,0,9,12,97.52,30.06,1.45,0,57.53,0.85,0.39,7.24,2.48,1.94,0,0,0,0,0.23,0.31
"06075033201","Census Tract 332.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"033201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075033201","Census Tract 332.01",,,,3535,2458,910,290,0,1008,13,0,237,1077,198,42,41,27,0,551,218,69.53,25.74,8.2,0,28.51,0.37,0,6.7,30.47,5.6,1.19,1.16,0.76,0,15.59,6.17
"06075033203","Census Tract 332.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"033203",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075033203","Census Tract 332.03",,,,3339,2743,907,171,0,1413,0,101,151,596,111,100,38,8,0,122,217,82.15,27.16,5.12,0,42.32,0,3.02,4.52,17.85,3.32,2.99,1.14,0.24,0,3.65,6.5
"06075033204","Census Tract 332.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"033204",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075033204","Census Tract 332.04",,,,3327,2716,822,322,19,1338,0,42,173,611,82,0,22,15,0,252,240,81.64,24.71,9.68,0.57,40.22,0,1.26,5.2,18.36,2.46,0,0.66,0.45,0,7.57,7.21
"06075035101","Census Tract 351.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"035101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075035101","Census Tract 351.01",,,,3848,3384,1675,90,0,1472,0,24,123,464,82,48,0,0,0,167,167,87.94,43.53,2.34,0,38.25,0,0.62,3.2,12.06,2.13,1.25,0,0,0,4.34,4.34
"06075035102","Census Tract 351.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"035102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075035102","Census Tract 351.02",,,,3828,3586,1025,0,1,2304,99,15,142,242,38,0,0,62,0,60,82,93.68,26.78,0,0.03,60.19,2.59,0.39,3.71,6.32,0.99,0,0,1.62,0,1.57,2.14
"06075035201","Census Tract 352.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"035201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075035201","Census Tract 352.01",,,,5136,4705,1455,33,0,2859,0,42,316,431,39,9,0,0,0,235,148,91.61,28.33,0.64,0,55.67,0,0.82,6.15,8.39,0.76,0.18,0,0,0,4.58,2.88
"06075035202","Census Tract 352.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"035202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075035202","Census Tract 352.02",,,,4559,3851,1693,120,0,1771,66,16,185,708,71,16,0,18,0,73,530,84.47,37.14,2.63,0,38.85,1.45,0.35,4.06,15.53,1.56,0.35,0,0.39,0,1.6,11.63
"06075035300","Census Tract 353, San Francisco County, California","ca","140","00",,,,"06","075",,,"035300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075035300","Census Tract 353",,,,6922,6273,1956,8,0,4082,52,121,54,649,194,0,0,28,0,348,79,90.62,28.26,0.12,0,58.97,0.75,1.75,0.78,9.38,2.8,0,0,0.4,0,5.03,1.14
"06075035400","Census Tract 354, San Francisco County, California","ca","140","00",,,,"06","075",,,"035400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075035400","Census Tract 354",,,,7154,6652,2331,75,0,2903,0,0,1343,502,51,0,27,15,0,71,338,92.98,32.58,1.05,0,40.58,0,0,18.77,7.02,0.71,0,0.38,0.21,0,0.99,4.72
"06075040100","Census Tract 401, San Francisco County, California","ca","140","00",,,,"06","075",,,"040100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075040100","Census Tract 401",,,,4277,3690,1727,0,0,1635,0,1,327,587,64,0,0,0,0,58,465,86.28,40.38,0,0,38.23,0,0.02,7.65,13.72,1.5,0,0,0,0,1.36,10.87
"06075040200","Census Tract 402, San Francisco County, California","ca","140","00",,,,"06","075",,,"040200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075040200","Census Tract 402",,,,4903,4351,2262,112,0,1702,0,0,275,552,161,0,0,114,0,98,179,88.74,46.14,2.28,0,34.71,0,0,5.61,11.26,3.28,0,0,2.33,0,2,3.65
"06075042601","Census Tract 426.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"042601",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075042601","Census Tract 426.01",,,,3999,3555,1685,13,0,1433,0,29,395,444,98,0,10,8,0,112,216,88.9,42.14,0.33,0,35.83,0,0.73,9.88,11.1,2.45,0,0.25,0.2,0,2.8,5.4
"06075042602","Census Tract 426.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"042602",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075042602","Census Tract 426.02",,,,3060,2636,1353,22,0,1083,0,0,178,424,43,0,30,0,0,55,296,86.14,44.22,0.72,0,35.39,0,0,5.82,13.86,1.41,0,0.98,0,0,1.8,9.67
"06075042700","Census Tract 427, San Francisco County, California","ca","140","00",,,,"06","075",,,"042700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075042700","Census Tract 427",,,,5365,5085,1856,545,54,2377,7,0,246,280,148,0,0,15,0,16,101,94.78,34.59,10.16,1.01,44.31,0.13,0,4.59,5.22,2.76,0,0,0.28,0,0.3,1.88
"06075042800","Census Tract 428, San Francisco County, California","ca","140","00",,,,"06","075",,,"042800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075042800","Census Tract 428",,,,2419,2257,1373,29,0,621,0,9,225,162,70,0,0,0,0,25,67,93.3,56.76,1.2,0,25.67,0,0.37,9.3,6.7,2.89,0,0,0,0,1.03,2.77
"06075045100","Census Tract 451, San Francisco County, California","ca","140","00",,,,"06","075",,,"045100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075045100","Census Tract 451",,,,4664,4338,2602,35,46,1326,0,0,329,326,50,0,7,18,0,205,46,93.01,55.79,0.75,0.99,28.43,0,0,7.05,6.99,1.07,0,0.15,0.39,0,4.4,0.99
"06075045201","Census Tract 452.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"045201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075045201","Census Tract 452.01",,,,3113,2930,1261,123,0,1334,0,83,129,183,42,0,0,0,0,25,116,94.12,40.51,3.95,0,42.85,0,2.67,4.14,5.88,1.35,0,0,0,0,0.8,3.73
"06075045202","Census Tract 452.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"045202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075045202","Census Tract 452.02",,,,3304,3010,1532,14,0,1142,72,0,250,294,25,7,0,0,0,147,115,91.1,46.37,0.42,0,34.56,2.18,0,7.57,8.9,0.76,0.21,0,0,0,4.45,3.48
"06075047600","Census Tract 476, San Francisco County, California","ca","140","00",,,,"06","075",,,"047600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047600","Census Tract 476",,,,5208,4989,1868,83,21,2581,0,3,433,219,53,33,0,0,0,77,56,95.79,35.87,1.59,0.4,49.56,0,0.06,8.31,4.21,1.02,0.63,0,0,0,1.48,1.08
"06075047701","Census Tract 477.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"047701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047701","Census Tract 477.01",,,,4742,4201,1549,0,0,2289,0,72,291,541,202,0,0,27,0,235,77,88.59,32.67,0,0,48.27,0,1.52,6.14,11.41,4.26,0,0,0.57,0,4.96,1.62
"06075047702","Census Tract 477.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"047702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047702","Census Tract 477.02",,,,3441,3267,1373,1,0,1721,0,8,164,174,40,32,0,0,0,29,73,94.94,39.9,0.03,0,50.01,0,0.23,4.77,5.06,1.16,0.93,0,0,0,0.84,2.12
"06075047801","Census Tract 478.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"047801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047801","Census Tract 478.01",,,,4227,4028,1824,35,0,1933,0,26,210,199,31,0,12,33,0,50,73,95.29,43.15,0.83,0,45.73,0,0.62,4.97,4.71,0.73,0,0.28,0.78,0,1.18,1.73
"06075047802","Census Tract 478.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"047802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047802","Census Tract 478.02",,,,3897,3392,1655,12,0,1618,0,7,100,505,230,0,0,0,0,232,43,87.04,42.47,0.31,0,41.52,0,0.18,2.57,12.96,5.9,0,0,0,0,5.95,1.1
"06075047902","Census Tract 479.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"047902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047902","Census Tract 479.02",,,,3327,2848,1347,0,0,1124,0,0,377,479,116,0,53,8,0,26,276,85.6,40.49,0,0,33.78,0,0,11.33,14.4,3.49,0,1.59,0.24,0,0.78,8.3
"06075047903","Census Tract 479.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"047903",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047903","Census Tract 479.03",,,,3608,3400,1590,42,0,1580,0,0,188,208,28,0,0,13,0,20,147,94.24,44.07,1.16,0,43.79,0,0,5.21,5.76,0.78,0,0,0.36,0,0.55,4.07
"06075047904","Census Tract 479.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"047904",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075047904","Census Tract 479.04",,,,3175,2902,1772,94,0,650,0,164,222,273,24,0,0,0,0,112,137,91.4,55.81,2.96,0,20.47,0,5.17,6.99,8.6,0.76,0,0,0,0,3.53,4.31
"06075060100","Census Tract 601, San Francisco County, California","ca","140","00",,,,"06","075",,,"060100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060100","Census Tract 601",,,,3808,2957,2081,35,9,206,0,15,611,851,127,0,0,0,0,179,545,77.65,54.65,0.92,0.24,5.41,0,0.39,16.05,22.35,3.34,0,0,0,0,4.7,14.31
"06075060400","Census Tract 604, San Francisco County, California","ca","140","00",,,,"06","075",,,"060400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060400","Census Tract 604",,,,1818,1611,678,50,0,565,0,79,239,207,98,0,0,0,0,95,14,88.61,37.29,2.75,0,31.08,0,4.35,13.15,11.39,5.39,0,0,0,0,5.23,0.77
"06075060502","Census Tract 605.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"060502",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060502","Census Tract 605.02",,,,3087,2126,158,381,19,1133,185,6,244,961,42,25,0,12,0,700,182,68.87,5.12,12.34,0.62,36.7,5.99,0.19,7.9,31.13,1.36,0.81,0,0.39,0,22.68,5.9
"06075060701","Census Tract 607.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"060701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060701","Census Tract 607.01",,,,8415,7776,1611,1390,0,4174,0,0,601,639,17,9,0,0,0,318,295,92.41,19.14,16.52,0,49.6,0,0,7.14,7.59,0.2,0.11,0,0,0,3.78,3.51
"06075060702","Census Tract 607.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"060702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060702","Census Tract 607.02",,,,2359,2074,406,174,0,1193,0,94,207,285,262,0,4,0,0,19,0,87.92,17.21,7.38,0,50.57,0,3.98,8.77,12.08,11.11,0,0.17,0,0,0.81,0
"06075060703","Census Tract 607.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"060703",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075060703","Census Tract 607.03",,,,5936,5213,2487,133,0,2146,132,101,214,723,283,0,0,0,0,270,170,87.82,41.9,2.24,0,36.15,2.22,1.7,3.61,12.18,4.77,0,0,0,0,4.55,2.86
"06075061000","Census Tract 610, San Francisco County, California","ca","140","00",,,,"06","075",,,"061000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061000","Census Tract 610",,,,4558,3860,527,442,0,2759,21,24,87,698,300,0,0,0,0,221,177,84.69,11.56,9.7,0,60.53,0.46,0.53,1.91,15.31,6.58,0,0,0,0,4.85,3.88
"06075061101","Census Tract 611.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"061101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061101","Census Tract 611.01",,,,1814,1788,39,31,6,1641,0,0,71,26,16,0,0,0,0,0,10,98.57,2.15,1.71,0.33,90.46,0,0,3.91,1.43,0.88,0,0,0,0,0,0.55
"06075061102","Census Tract 611.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"061102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061102","Census Tract 611.02",,,,2017,1920,82,69,0,1742,0,0,27,97,0,0,0,0,0,80,17,95.19,4.07,3.42,0,86.37,0,0,1.34,4.81,0,0,0,0,0,3.97,0.84
"06075061200","Census Tract 612, San Francisco County, California","ca","140","00",,,,"06","075",,,"061200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061200","Census Tract 612",,,,4163,2331,352,757,0,1169,0,0,53,1832,44,9,0,0,0,1592,187,55.99,8.46,18.18,0,28.08,0,0,1.27,44.01,1.06,0.22,0,0,0,38.24,4.49
"06075061401","Census Tract 614.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"061401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061401","Census Tract 614.01",,,,2900,2387,1479,54,0,451,0,137,266,513,10,0,7,0,0,173,323,82.31,51,1.86,0,15.55,0,4.72,9.17,17.69,0.34,0,0.24,0,0,5.97,11.14
"06075061402","Census Tract 614.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"061402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061402","Census Tract 614.02",,,,2354,2246,1421,93,0,585,0,0,147,108,21,0,0,0,0,60,27,95.41,60.37,3.95,0,24.85,0,0,6.24,4.59,0.89,0,0,0,0,2.55,1.15
"06075061501","Census Tract 615.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"061501",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061501","Census Tract 615.01",,,,1807,1521,613,9,0,690,28,0,181,286,174,0,0,0,0,89,23,84.17,33.92,0.5,0,38.18,1.55,0,10.02,15.83,9.63,0,0,0,0,4.93,1.27
"06075061502","Census Tract 615.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"061502",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061502","Census Tract 615.02",,,,2195,1970,1558,58,0,195,0,0,159,225,130,0,0,0,0,57,38,89.75,70.98,2.64,0,8.88,0,0,7.24,10.25,5.92,0,0,0,0,2.6,1.73
"06075061503","Census Tract 615.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"061503",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061503","Census Tract 615.03",,,,3612,3073,1229,9,0,1813,0,0,22,539,93,0,30,0,0,267,149,85.08,34.03,0.25,0,50.19,0,0,0.61,14.92,2.57,0,0.83,0,0,7.39,4.13
"06075061504","Census Tract 615.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"061504",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061504","Census Tract 615.04",,,,2133,2006,390,6,0,1501,75,0,34,127,87,9,0,0,0,31,0,94.05,18.28,0.28,0,70.37,3.52,0,1.59,5.95,4.08,0.42,0,0,0,1.45,0
"06075061505","Census Tract 615.05, San Francisco County, California","ca","140","00",,,,"06","075",,,"061505",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061505","Census Tract 615.05",,,,1162,1082,291,63,0,698,0,0,30,80,66,0,0,0,0,14,0,93.12,25.04,5.42,0,60.07,0,0,2.58,6.88,5.68,0,0,0,0,1.2,0
"06075061506","Census Tract 615.06, San Francisco County, California","ca","140","00",,,,"06","075",,,"061506",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061506","Census Tract 615.06",,,,4918,4757,1874,177,0,2444,0,0,262,161,161,0,0,0,0,0,0,96.73,38.1,3.6,0,49.69,0,0,5.33,3.27,3.27,0,0,0,0,0,0
"06075061507","Census Tract 615.07, San Francisco County, California","ca","140","00",,,,"06","075",,,"061507",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061507","Census Tract 615.07",,,,1550,1221,401,11,0,809,0,0,0,329,137,0,0,12,0,33,147,78.77,25.87,0.71,0,52.19,0,0,0,21.23,8.84,0,0,0.77,0,2.13,9.48
"06075061508","Census Tract 615.08, San Francisco County, California","ca","140","00",,,,"06","075",,,"061508",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061508","Census Tract 615.08",,,,2018,1828,861,62,10,787,17,18,73,190,0,0,0,0,0,56,134,90.58,42.67,3.07,0.5,39,0.84,0.89,3.62,9.42,0,0,0,0,0,2.78,6.64
"06075980200","Census Tract 9802, San Francisco County, California","ca","140","00",,,,"06","075",,,"980200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980200","Census Tract 9802",,,,179,162,32,45,0,58,0,23,4,17,0,0,0,0,0,17,0,90.5,17.88,25.14,0,32.4,0,12.85,2.23,9.5,0,0,0,0,0,9.5,0
"06075980300","Census Tract 9803, San Francisco County, California","ca","140","00",,,,"06","075",,,"980300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980300","Census Tract 9803",,,,49,42,37,0,0,0,0,0,5,7,0,0,0,0,0,0,7,85.71,75.51,0,0,0,0,0,10.2,14.29,0,0,0,0,0,0,14.29
"06075980401","Census Tract 9804.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"980401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980401","Census Tract 9804.01",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
"06075980501","Census Tract 9805.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"980501",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980501","Census Tract 9805.01",,,,155,155,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"06075980600","Census Tract 9806, San Francisco County, California","ca","140","00",,,,"06","075",,,"980600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980600","Census Tract 9806",,,,1290,1096,242,288,0,463,0,1,102,194,12,0,48,0,0,77,57,84.96,18.76,22.33,0,35.89,0,0.08,7.91,15.04,0.93,0,3.72,0,0,5.97,4.42
"06075980900","Census Tract 9809, San Francisco County, California","ca","140","00",,,,"06","075",,,"980900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980900","Census Tract 9809",,,,322,302,32,27,0,214,0,0,29,20,3,0,0,0,0,17,0,93.79,9.94,8.39,0,66.46,0,0,9.01,6.21,0.93,0,0,0,0,5.28,0
"06075990100","Census Tract 9901, San Francisco County, California","ca","140","00",,,,"06","075",,,"990100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075990100","Census Tract 9901",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
"06075990200","Census Tract 9902, San Francisco County, California","ca","140","00",,,,"06","075",,,"990200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075990200","Census Tract 9902",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
